departamento_id,nombre
105,"Villa La Serranía"
106,"Bahía San Blas"
106,"Cardenal Cagliero"
106,"Carmen de Patagones"
106,"José B. Casas"
106,"Juan A. Pradere"
106,Stroeder
106,Villalonga
107,"Capitán Castro"
107,Chiclana
107,"Francisco Madero"
107,"Juan José Paso"
107,Magdala
107,"Mones Cazón"
107,"Nueva Plata"
107,Pehuajó
107,"San Bernardo (Est. Guanaco)"
108,Bocayuva
108,"De Bary"
108,Pellegrini
109,Acevedo
109,Fontezuela
109,Guerrico
109,"Juan A. de la Peña"
109,"Juan Anchorena (Est. Urquiza)"
109,"La Violeta"
109,"Manuel Ocampo"
109,"Mariano Benítez"
109,"Mariano H. Alfonzo (Est. San Patricio)"
109,Pergamino
109,Pinzón
109,Rancagua
109,"Villa Angélica (Est. El Socorro)"
109,"Villa San José"
110,Casalins
110,Pila
111,"Barrio Parque Almirante Irizar (Ap. Kilómetro 61)"
111,"Club de Campo Larena - Los Quinchos"
111,"Country Club El Jagüel"
111,Pilar
112,Pinamar
113,"Presidente Perón"
114,"17 de Agosto"
114,Azopardo
114,Bordenave
114,Darregueira
114,Estela
114,"Felipe Solá"
114,"López Lecube"
114,Puán
114,"San Germán"
114,"Villa Castelar (Est. Erize)"
114,"Villa Iris"
115,"Alvarez Jonte"
115,"Las Tahonas"
115,Pipinas
115,"Punta Indio"
115,Verónica
116,Quilmes
117,"El Paraíso"
117,"Las Bahamas"
117,"Pérez Millán"
117,Ramallo
117,"Villa General Savio (Est. Sánchez)"
117,"Villa Ramallo"
118,Rauch
119,América
119,"Fortín Olavarría"
119,"Gonzalez Moreno"
119,"Mira Pampa"
119,Roosevelt
119,"San Mauricio"
119,Sansinena
119,Sundblad
120,"La Beba"
120,"Las Carabelas"
120,"Los Indios"
120,"Rafael Obligado"
120,"Roberto Cano"
120,Rojas
120,"Sol de Mayo"
120,"Villa Manuel Pomar"
120,"Villa Parque Cecir"
121,"Carlos Beguerie"
121,"Roque Pérez"
122,"Arroyo Corto"
122,"Colonia San Martín"
122,Dufaur
122,Espartillar
122,Goyena
122,Pigüé
122,Saavedra
123,"Álvarez de Toledo"
123,Blaquier
123,Cazón
